#TYPE Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVMRoleListContext
"DeploymentName","Name","Label","VM","InstanceStatus","IpAddress","InstanceStateDetails","PowerState","InstanceErrorCode","InstanceFaultDomain","InstanceName","InstanceUpgradeDomain","InstanceSize","HostName","AvailabilitySetName","DNSName","Status","GuestAgentStatus","MaintenanceStatus","ResourceExtensionStatusList","PublicIPAddress","PublicIPName","PublicIPDomainNameLabel","PublicIPFqdns","NetworkInterfaces","VirtualNetworkName","RemoteAccessCertificateThumbprint","ServiceName","OperationDescription","OperationId","OperationStatus"
"azsacl001","AZSAW0004",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","StoppedDeallocated",,,"Stopped",,,"AZSAW0004",,"Standard_D12",,,"http://azsacl001.cloudapp.net/","StoppedDeallocated","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","5680F691CDD405A04F283B9FD5A0D1FD23EF54E5","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl001","AZSAW0005",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","StoppedDeallocated",,,"Stopped",,,"AZSAW0005",,"Standard_D13",,,"http://azsacl001.cloudapp.net/","StoppedDeallocated","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","59660568FDEA975B449C2BC58B322984A69F9ED6","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl001","AZSAW0006",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","ReadyRole","10.227.73.11","","Started",,"0","AZSAW0006","0","Standard_D12","AZSAW0006",,"http://azsacl001.cloudapp.net/","ReadyRole","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","F89CF378533A366A5EA2FE7F76755A6358D99FA8","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl001","AZSAW0007",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","ReadyRole","10.227.73.12","","Started",,"0","AZSAW0007","0","Standard_D12","AZSAW0007",,"http://azsacl001.cloudapp.net/","ReadyRole","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","85D6013048698E7972B2A9468F6E6DF130025BE7","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl001","AZSAW0008",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","ReadyRole","10.227.73.13","","Started",,"0","AZSAW0008","0","Standard_D12","AZSAW0008",,"http://azsacl001.cloudapp.net/","ReadyRole","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","78C822859C0519F3F1EFCA1DBCEB5711F0D41AEF","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl001","AZSAW0011",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","StoppedDeallocated",,,"Stopped",,,"AZSAW0011",,"Standard_D12",,,"http://azsacl001.cloudapp.net/","StoppedDeallocated","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","8FA63E6725596ECBC3E2BD319DE0E0816DCC44E5","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl001","AZSAW0015",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","StoppedDeallocated",,,"Stopped",,,"AZSAW0015",,"Standard_D13",,,"http://azsacl001.cloudapp.net/","StoppedDeallocated","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","C13A17260B1B81F71865282F0B6E7634FE1F6A32","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl001","AZSAW0017",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","ReadyRole","10.227.73.22","","Started",,"0","AZSAW0017","0","Standard_D13","AZSAW0017",,"http://azsacl001.cloudapp.net/","ReadyRole","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","2BBF51EDDBDBA6FECC6A1E6DDAED6E1297DB8889","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl001","AZSAW0018",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","StoppedDeallocated",,,"Stopped",,,"AZSAW0018",,"Standard_D13",,,"http://azsacl001.cloudapp.net/","StoppedDeallocated","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","Retail_NonProd","DD68DFD603ED76B8A2720CF647518DFD66D00C76","AZSACL001","Get-AzureVM","6dec0290e505a257869a21a208a61251","OK"
"azsacl003","AZSAW0027",,"Microsoft.WindowsAzure.Commands.ServiceManagement.Model.PersistentVM","StoppedDeallocated",,,"Stopped",,,"AZSAW0027",,"Standard_D13",,,"http://azsacl003.cloudapp.net/","StoppedDeallocated","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.GuestAgentStatus",,"System.Collections.Generic.List`1[Microsoft.WindowsAzure.Commands.ServiceManagement.Model.ResourceExtensionStatus]","","","","System.Collections.Generic.List`1[System.String]","Microsoft.WindowsAzure.Commands.ServiceManagement.Model.NetworkInterfaceList","retail_nonprod","07FC1340BD6DFB41F39ABD44CE4757A2BC8F09FD","AZSACL003","Get-AzureVM","fbaffa039fdaa8cabeb78271cdf00fb4","OK"
